byweek,nlabel,platform,product,manufacturer,model,price,ads,in_stock,weight,reviews,rating,calc_rank,calc_inven,calc_promo,calc_ship
01,HDMilwaukee M18 18-Volt Lithium-Ion Cordless Drill Driver/Impact Driver and HACKZALL Combo Kit (3-Tool) with Two 1.5 Ah BatteriesMilwaukee,HD,Milwaukee M18 18-Volt Lithium-Ion Cordless Drill Driver/Impact Driver and HACKZALL Combo Kit (3-Tool) with Two 1.5 Ah Batteries,Milwaukee,2691-22H,199.0,0.0,,,1280.0,4.6,15.0,7.0,1.0,2.0
01,HDDEWALT ATOMIC 20-Volt MAX Lithium-Ion Cordless Brushless 1/2 in. Compact Hammer Drill KitDEWALT,HD,DEWALT ATOMIC 20-Volt MAX Lithium-Ion Cordless Brushless 1/2 in. Compact Hammer Drill Kit,DEWALT,DCD709C2,119.0,0.0,,2.5,91.0,4.6,16.5,5.0,1.0,2.0
01,"HDMilwaukee M18 18-Volt Lithium-Ion Brushless Cordless Compact Drill/Impact Combo Kit (2-Tool) W/ (2) 2.0Ah Batteries, Charger & BagMilwaukee",HD,"Milwaukee M18 18-Volt Lithium-Ion Brushless Cordless Compact Drill/Impact Combo Kit (2-Tool) W/ (2) 2.0Ah Batteries, Charger & Bag",Milwaukee,2892-22CT,199.0,0.0,,,404.0,4.6,16.5,0.0,1.0,2.0
01,"HDRIDGID 18-Volt Lithium-Ion Cordless 5-Tool Combo Kit with (2) 4.0 Ah Batteries, 18-Volt Charger, and Contractors BagRIDGID",HD,"RIDGID 18-Volt Lithium-Ion Cordless 5-Tool Combo Kit with (2) 4.0 Ah Batteries, 18-Volt Charger, and Contractors Bag",RIDGID,R9652,449.0,0.0,,,1618.0,4.6,19.0,18.0,1.0,2.0
01,HDDEWALT ATOMIC 20-Volt MAX Li-Ion Brushless Cordless Compact Drill/Impact Combo Kit (2-Tool) w/ Bonus Mech Tool Set (142-Piece)DEWALT,HD,DEWALT ATOMIC 20-Volt MAX Li-Ion Brushless Cordless Compact Drill/Impact Combo Kit (2-Tool) w/ Bonus Mech Tool Set (142-Piece),DEWALT,DCK278C2W73802,340.85,0.0,,,586.5,4.6,20.0,0.0,1.0,2.0
01,HDBLACK+DECKER 20-Volt MAX Lithium-Ion Cordless 3/8 in. Drill/Driver with Battery 1.5Ah and ChargerBLACK+DECKER,HD,BLACK+DECKER 20-Volt MAX Lithium-Ion Cordless 3/8 in. Drill/Driver with Battery 1.5Ah and Charger,BLACK+DECKER,LDX120C,46.4,0.0,,3.925,410.0,4.2,21.0,0.0,0.0,2.0
01,HDBLACK+DECKER 5.2 Amp 3/8 in. Corded DrillBLACK+DECKER,HD,BLACK+DECKER 5.2 Amp 3/8 in. Corded Drill,BLACK+DECKER,DR260C,22.94,0.0,,3.6,29.0,4.3,21.0,0.0,0.0,7.0
01,HDPorter-Cable 20-Volt MAX Lithium-Ion Cordless 1/2 in. Drill/Driver with 2 Batteries 1.3 Ah and ChargerPORTER-CABLE,HD,Porter-Cable 20-Volt MAX Lithium-Ion Cordless 1/2 in. Drill/Driver with 2 Batteries 1.3 Ah and Charger,PORTER-CABLE,PCC601LB,75.77,0.0,,5.224,9.0,4.6,21.0,0.0,0.0,2.0
01,HDBLACK+DECKER 20-Volt MAX Lithium-Ion Cordless Matrix Drill/Driver with Battery 1.5Ah and ChargerBLACK+DECKER,HD,BLACK+DECKER 20-Volt MAX Lithium-Ion Cordless Matrix Drill/Driver with Battery 1.5Ah and Charger,BLACK+DECKER,BDCDMT120C,50.79,0.0,,4.25,64.0,4.5,21.0,0.0,0.0,2.0
01,HDWorx 20-Volt Lithium-Ion 1/4 in. Cordless Drill/DriverWORX,HD,Worx 20-Volt Lithium-Ion 1/4 in. Cordless Drill/Driver,WORX,WX176L,73.79,0.0,,2.9,1177.5,4.7,21.0,0.0,0.0,2.0
01,HDWorx 20-Volt Lithium-Ion Switchdriver (Bare Tool Only)Worx,HD,Worx 20-Volt Lithium-Ion Switchdriver (Bare Tool Only),Worx,WX176L.9,48.1,0.0,,2.5,205.0,4.7,21.0,0.0,0.0,2.0
01,HDWorx 20-Volt Switchdriver Cordless 1/4 in. Drill and Driver with 67-Piece Accessory KitWorx,HD,Worx 20-Volt Switchdriver Cordless 1/4 in. Drill and Driver with 67-Piece Accessory Kit,Worx,WX176L.1,142.97,0.0,,2.89,802.0,4.8,21.0,0.0,0.0,7.0
01,HDDEWALT 20-Volt MAX Lithium-Ion Cordless Drill/Driver & Impact Wrench Combo Kit (2-Tool) w/ (2) 20-Volt MAX Batteries 1.3AhDEWALT,HD,DEWALT 20-Volt MAX Lithium-Ion Cordless Drill/Driver & Impact Wrench Combo Kit (2-Tool) w/ (2) 20-Volt MAX Batteries 1.3Ah,DEWALT,DCK240C2DCF883B,318.0,0.0,,,1417.0,4.6,21.0,0.0,0.0,2.0
01,"HDDEWALT 20-Volt MAX Lithium-Ion Cordless 1/2 in. Drill/Driver Kit with (2) 20-Volt Batteries 1.3Ah, Charger and Tool BagDEWALT",HD,"DEWALT 20-Volt MAX Lithium-Ion Cordless 1/2 in. Drill/Driver Kit with (2) 20-Volt Batteries 1.3Ah, Charger and Tool Bag",DEWALT,DCD771C2,96.0,0.0,,6.75,3118.0,4.6,21.0,0.0,0.0,2.0
01,"HDBLACK+DECKER 20-Volt MAX Lithium-Ion Cordless Drill and Project Kit with Battery 1.5Ah, Charger and Kit BagBLACK+DECKER",HD,"BLACK+DECKER 20-Volt MAX Lithium-Ion Cordless Drill and Project Kit with Battery 1.5Ah, Charger and Kit Bag",BLACK+DECKER,LDX120PK,80.57,0.0,,9.4,235.0,4.4,21.0,0.0,0.0,7.0
01,"HDMakita 18-Volt LXT Lithium-Ion Brushless Cordless 1/2 in. Driver-Drill Kit, 3.0AhMakita",HD,"Makita 18-Volt LXT Lithium-Ion Brushless Cordless 1/2 in. Driver-Drill Kit, 3.0Ah",Makita,XFD131,99.0,0.0,,7.25,252.0,4.7,21.0,6.0,1.0,2.0
01,"HDDEWALT 20-Volt MAX Lithium-Ion Cordless 1/4 in. Impact Driver with (1) 20-Volt Battery 1.3Ah, Charger and Tool BagDEWALT",HD,"DEWALT 20-Volt MAX Lithium-Ion Cordless 1/4 in. Impact Driver with (1) 20-Volt Battery 1.3Ah, Charger and Tool Bag",DEWALT,DCF885C1,99.0,0.0,,5.58,710.0,4.7,21.0,0.0,0.0,2.0
01,HDDEWALT 20-Volt MAX XR Lithium Ion Cordless Drill / Driver KitDEWALT,HD,DEWALT 20-Volt MAX XR Lithium Ion Cordless Drill / Driver Kit,DEWALT,DCD792D2,239.0,0.0,,8.0,19.0,4.7,21.0,0.0,0.0,2.0
01,"HDBLACK+DECKER 12-Volt MAX Lithium-Ion Cordless Project Kit (57-Piece) with Battery 1.5Ah, Charger and Tool BagBLACK+DECKER",HD,"BLACK+DECKER 12-Volt MAX Lithium-Ion Cordless Project Kit (57-Piece) with Battery 1.5Ah, Charger and Tool Bag",BLACK+DECKER,BDCDD12PK,53.03,0.0,,,24.0,4.5,21.0,0.0,0.0,7.0
01,WMTRefurbished Dewalt DCK240C2 20v Lithium Drill Driver/Impact Combo Kit (1.3Ah)DEWALT,WMT,Refurbished Dewalt DCK240C2 20v Lithium Drill Driver/Impact Combo Kit (1.3Ah),DEWALT,DCK240C2,109.82,0.0,0.0,9.5,0.0,,21.0,0.0,1.0,7.0
01,WMTMetabo HPT DS18DGLM 18V Lithium-Ion 1/2 in. Cordless Drill Driver Kit (1.3 Ah)Metabo HPT,WMT,Metabo HPT DS18DGLM 18V Lithium-Ion 1/2 in. Cordless Drill Driver Kit (1.3 Ah),Metabo HPT,DS18DGLM,132.88,0.0,1.0,8.6,145.0,4.6,21.0,12.0,0.0,2.0
01,WMTMilwaukee 48-89-4631 23 Piece TiN Shockwave Drill Bit KitMilwaukee,WMT,Milwaukee 48-89-4631 23 Piece TiN Shockwave Drill Bit Kit,Milwaukee,48-89-4631,115.25,0.0,0.0,,0.0,,21.0,0.0,0.0,7.0
01,"WMTHyper Tough 18-Volt Ni-Cad Cordless Drill, AQ75023GHyper Tough",WMT,"Hyper Tough 18-Volt Ni-Cad Cordless Drill, AQ75023G",Hyper Tough,AQ75023G,19.83,0.0,1.0,4.685,518.5,4.3,1.0,12.0,1.0,2.0
01,"WMTHyper Tough HT Charge 20-Volt Max Lithium Ion Cordless Drill-Driver, AQ75034GHyper Tough",WMT,"Hyper Tough HT Charge 20-Volt Max Lithium Ion Cordless Drill-Driver, AQ75034G",Hyper Tough,AQ75034G,29.64,0.0,1.0,3.968,229.0,4.4,2.0,12.0,1.0,2.0
01,"WMTBLACK+DECKER 20-Volt MAX* Lithium Cordless Drill With 2 Batteries, BCD702C2BWMBLACK+DECKER",WMT,"BLACK+DECKER 20-Volt MAX* Lithium Cordless Drill With 2 Batteries, BCD702C2BWM",BLACK+DECKER,BCD702C2BWM,49.88,0.0,1.0,3.0,143.0,4.6,3.0,12.0,1.0,2.0
01,"WMTBLACK+DECKER 8-Volt Lithium Cordless Drill With Bonus Drill Bits, BDCD8BVABLACK+DECKER",WMT,"BLACK+DECKER 8-Volt Lithium Cordless Drill With Bonus Drill Bits, BDCD8BVA",BLACK+DECKER,BDCD8BVA,22.99,0.0,1.0,1.9,16.0,4.9,4.0,5.0,0.0,2.0
01,"WMTBLACK+DECKER 20-Volt MAX* Lithium Cordless Drill, BCD702C1BLACK+DECKER",WMT,"BLACK+DECKER 20-Volt MAX* Lithium Cordless Drill, BCD702C1",BLACK+DECKER,BCD702C1,39.88,0.0,1.0,3.4,74.0,4.7,5.5,12.0,1.0,2.0
01,"WMTBLACK+DECKER 18-Volt Ni-Cad Cordless Drill-Driver, GC1801BLACK+DECKER",WMT,"BLACK+DECKER 18-Volt Ni-Cad Cordless Drill-Driver, GC1801",BLACK+DECKER,GC1801,30.64,0.0,1.0,4.8,106.0,4.3,5.5,12.0,1.0,2.0
