HD,city,state,LO,city,state,address,city,store,time,url,zipcode,STATE,STATENS,STATE_NAME,STUSAB,NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state:1,place
1,Aspen Hill,24,,,,14000 Georgia Avenue,Aspen Hill,HD,1597100429.86871,https://www.homedepot.com/,20906,24,1714934,Maryland,MD,"Aspen Hill CDP, Maryland",52807,5125,7076,7012,3615,3146,37078,,,,,,24,2825
1,Atascadero,6,,,,905 El Camino Real,Atascadero,HD,1597100305.89534,https://www.homedepot.com/,93422,6,1779778,California,CA,"Atascadero city, California",30037,2327,4321,3949,2773,2096,38371,,,,,,6,3064
1,Athens,13,2,Athens,13,Oconee Connector,Athens,LOW,1597172488.70849,https://www.lowes.com/,30677,13,1705317,Georgia,GA,"Athens-Clarke County unified government (balance), Georgia",123310,33378,20445,13783,7536,5101,22498,,,,,,13,3440
6,Atlanta,13,1,Atlanta,13,Caroline Street Northeast,Atlanta,LOW,1597172489.18904,https://www.lowes.com/,30307,13,1705317,Georgia,GA,"Atlanta city, Georgia",479655,68174,97823,66391,32379,22269,43468,,,,,,13,4000
1,Auburn,18,,,,403 Smaltz Way,Auburn,HD,1597100386.85584,https://www.homedepot.com/,46706,18,448508,Indiana,IN,"Mount Auburn town, Indiana",106,8,19,8,12,7,26072,,,,,,18,51318
1,Auburn,23,1,Auburn,23,650,Auburn,LOW,1597172852.93882,https://www.lowes.com/,4210,23,1779787,Maine,ME,"Auburn city, Maine",23064,1713,3212,3017,2175,1692,28264,,,,,,23,2060
1,Auburn,25,,,,779 Washington Street,Auburn,HD,1597100443.27298,https://www.homedepot.com/,1501,25,606926,Massachusetts,MA,,,,,,,,,,,,,,,
1,Auburn,36,1,Auburn,36,299,Auburn,LOW,1597173261.26464,https://www.lowes.com/,13021,36,1779796,New York,NY,"Auburn city, New York",26779,2297,4305,3329,2490,2088,24291,,,,,,36,3078
1,Auburn,6,,,,11755 Willow Creek Drive,Auburn,HD,1597100305.96432,https://www.homedepot.com/,95603,6,1779778,California,CA,"Auburn city, California",13946,1061,1320,1677,1768,1313,39328,,,,,,6,3204
1,Auburn Hills,26,,,,4150 Joslyn Road,Auburn Hills,HD,1597100466.46372,https://www.homedepot.com/,48326,26,1779789,Michigan,MI,"Auburn Hills city, Michigan",23107,4495,5077,2865,1655,873,31506,,,,,,26,4105
1,Augusta,13,2,Augusta,13,Rose Street,Augusta,LOW,1597172489.71462,https://www.lowes.com/,30907,13,1705317,Georgia,GA,"Augusta-Richmond County consolidated government (balance), Georgia",196807,23050,32197,22670,15516,10352,21949,,,,,,13,4204
1,Augusta,23,1,Augusta,23,53,Augusta,LOW,1597172853.45523,https://www.lowes.com/,4330,23,1779787,Maine,ME,"Augusta city, Maine",18635,2021,2058,2148,2401,1704,26526,,,,,,23,2100
1,Aurora,17,,,,1250 N Orchard Rd,Aurora,HD,1597100380.07813,https://www.homedepot.com/,60506,17,1779784,Illinois,IL,"North Aurora village, Illinois",17653,1315,2312,2543,1291,729,40577,,,,,,17,53442
1,Aurora,39,,,,18800 N Market Pl Drive,Aurora,HD,1597100651.69982,https://www.homedepot.com/,44202,39,1085497,Ohio,OH,"Aurora city, Ohio",15941,1358,914,1831,1697,1612,48521,,,,,,39,3086
4,Aurora,8,3,Aurora,8,6000 South Gun Club Road,Aurora,HD,1597100320.61471,https://www.homedepot.com/,80016,8,1779779,Colorado,CO,"Aurora city, Colorado",363550,32581,59689,53135,25014,14377,28854,,,,,,8,4000
1,Austell,13,,,,1200 E W Connector Sw,Austell,HD,1597100353.84778,https://www.homedepot.com/,30106,13,1705317,Georgia,GA,"Austell city, Georgia",7276,280,1414,1321,329,163,20655,,,,,,13,4252
7,Austin,48,5,Austin,48,Pecan Park Boulevard,Austin,LOW,1597173608.24735,https://www.lowes.com/,78750,48,1779801,Texas,TX,"Austin city, Texas",935755,99209,210174,149679,51498,29824,40391,,,,,,48,5000
1,Austintown,39,,,,6100 Mahoning Ave,Austintown,HD,1597100651.45995,https://www.homedepot.com/,44515,39,1085497,Ohio,OH,"Austintown CDP, Ohio",28386,2688,3407,3151,3298,2881,25464,,,,,,39,3184
1,Avon,25,,,,60 Stockwell Drive,Avon,HD,1597100443.46408,https://www.homedepot.com/,2322,25,606926,Massachusetts,MA,,,,,,,,,,,,,,,
1,Avon,39,1,Avon,39,35930 Detroit Rd,Avon,HD,1597100651.55818,https://www.homedepot.com/,44011,39,1085497,Ohio,OH,"Avon Lake city, Ohio",23777,1019,1871,3140,2504,2110,45501,,,,,,39,3464
1,Avon,8,,,,0295 Yoder Avenue,Avon,HD,1597100319.05343,https://www.homedepot.com/,81620,8,1779779,Colorado,CO,"Avondale CDP, Colorado",727,24,96,183,32,0,22044,,,,,,8,4165
1,Avondale,4,,,,1489 N Dysart Rd,Avondale,HD,1597100293.57339,https://www.homedepot.com/,85323,4,1779777,Arizona,AZ,"Avondale city, Arizona",83392,8475,13618,12470,4434,2278,23400,,,,,,4,4720
1,Bainbridge,13,,,,1414 Tallahassee Hwy,Bainbridge,HD,1597100353.89073,https://www.homedepot.com/,39819,13,1705317,Georgia,GA,"Bainbridge city, Georgia",12152,1123,1550,1555,1086,754,18132,,,,,,13,4896
4,Bakersfield,6,,,,8700 Rosedale Hwy,Bakersfield,HD,1597100310.38145,https://www.homedepot.com/,93312,6,1779778,California,CA,"Bakersfield city, California",375699,38892,59594,47523,21689,14927,26323,,,,,,6,3526
1,Balch Springs,48,,,,12005 Elam Road,Balch Springs,HD,1597100814.79218,https://www.homedepot.com/,75180,48,1779801,Texas,TX,"Balch Springs city, Texas",25312,2809,3733,3487,929,590,16198,,,,,,48,5372
1,Baldwin Park,6,,,,3200 Puente Avenue,Baldwin Park,HD,1597100306.06714,https://www.homedepot.com/,91706,6,1779778,California,CA,"Baldwin Park city, California",76222,8117,12385,9925,5560,3277,18728,,,,,,6,3666
1,Ballwin,29,1,Ballwin,29,14808,Ballwin,LOW,1597172947.51962,https://www.lowes.com/,63021,29,1779791,Missouri,MO,"Ballwin city, Missouri",30332,1976,3237,3596,2943,2468,46068,,,,,,29,3160
3,Baltimore,24,1,Baltimore,24,9955 Pulaski Hwy (white Marsh),Baltimore,HD,1597100432.08142,https://www.homedepot.com/,21220,24,1714934,Maryland,MD,"Woodlawn CDP (Baltimore County), Maryland",38951,3103,6428,4854,3460,1872,31063,,,,,,24,86475
1,Bangor,23,1,Bangor,23,Frost Drive,Bangor,LOW,1597172853.98828,https://www.lowes.com/,4402,23,1779787,Maine,ME,"Bangor city, Maine",32098,3758,5820,3516,2518,2757,28769,,,,,,23,2795
1,Barboursville,54,1,Barboursville,54,I 64,Barboursville,LOW,1597173827.09427,https://www.lowes.com/,25504,54,1779805,West Virginia,WV,"Barboursville village, West Virginia",4185,356,891,543,394,290,30519,,,,,,54,4276
1,Barstow,6,,,,1100 L Avenue,Barstow,HD,1597100306.1237,https://www.homedepot.com/,92311,6,1779778,California,CA,"Barstow city, California",23812,2352,3508,2608,1487,1080,19473,,,,,,6,4030
1,Bartlett,17,,,,950 Il Route 59,Bartlett,HD,1597100376.74453,https://www.homedepot.com/,60103,17,1779784,Illinois,IL,"Bartlett village, Illinois",41316,3284,4653,5911,2984,1847,38978,,,,,,17,4013
1,Bastrop,48,1,Bastrop,48,Blakey Lane,Bastrop,LOW,1597173608.76298,https://www.lowes.com/,Texas,48,1779801,Texas,TX,"Bastrop city, Texas",8736,1075,777,1579,927,649,27677,,,,,,48,5864
1,Batavia,36,,,,4181 Veterans Memorial D,Batavia,HD,1597100599.18814,https://www.homedepot.com/,14020,36,1779796,New York,NY,"Batavia city, New York",14719,1319,2250,1614,1411,1475,25208,,,,,,36,4715
1,Batesville,5,,,,3000 E Harrison Street,Batesville,HD,1597100297.40945,https://www.homedepot.com/,72501,5,68085,Arkansas,AR,"Batesville city, Arkansas",10642,1271,1699,1228,901,917,26274,,,,,,5,4030
3,Baton Rouge,22,3,Baton Rouge,22,Millerville Road,Baton Rouge,LOW,1597172748.86405,https://www.lowes.com/,70816,22,1629543,Louisiana,LA,"Baton Rouge city, Louisiana",225362,40572,34762,23516,17348,12968,27329,,,,,,22,5000
1,Baxter,27,,,,7207 Foley Road,Baxter,HD,1597100484.07892,https://www.homedepot.com/,56425,27,662849,Minnesota,MN,"Baxter city, Minnesota",8087,576,742,1165,760,722,29734,,,,,,27,4042
1,Bay City,26,,,,3860 State Street,Bay City,HD,1597100466.58754,https://www.homedepot.com/,48706,26,1779789,Michigan,MI,"Bay City city, Michigan",33463,3137,4552,4244,2726,2064,21412,,,,,,26,6020
1,Bay Shore,36,1,Bay Shore,36,1881 Sunrise Hwy,Bay Shore,HD,1597100599.30587,https://www.homedepot.com/,11706,36,1779796,New York,NY,"Bay Shore CDP, New York",30685,2554,4415,3733,2025,1458,33166,,,,,,36,4935
2,Bayamon,72,,,,"Rexville Town Ctr State Rd 7, 167 Las Cumbres Av",Bayamon,HD,1597100944.53334,https://www.homedepot.com/,960,72,1779808,Puerto Rico,PR,,,,,,,,,,,,,,,
