weight,reviews,rating,calc_rank,calc_inven,calc_promo,calc_ship
2.95,8.0,4.1,21.0,12.0,1.0,7.0
4.0,17.0,4.6,21.0,12.0,0.0,2.0
7.4,9.0,4.9,21.0,12.0,1.0,7.0
5.09,19.0,4.6,21.0,12.0,0.0,7.0
3.0,16.0,4.8,20.0,12.0,0.0,2.0
4.25,2.0,5.0,21.0,12.0,1.0,7.0
9.4,11.0,4.7,21.0,25.0,0.0,2.0
6.9,320.0,4.7,21.0,3.0,0.0,2.0
7.150000000000001,17.0,4.2,21.0,17.666666666666668,0.0,2.0
1.8,6.0,3.6,21.0,1.0,0.0,2.0
3.2,158.0,4.4,21.0,27.0,1.0,2.0
2.95,31.0,4.2,21.0,6.0,0.0,7.0
5.29,100.0,4.6,21.0,1.0,1.0,2.0
5.55,212.0,4.5,21.0,27.0,1.0,2.0
5.56,1.0,5.0,21.0,3.0,0.0,2.0
5.38,9.0,4.1,21.0,0.0,0.0,2.0
1.25,13.0,4.8,21.0,20.0,0.0,7.0
4.4,80.0,4.5,21.0,2.0,0.0,2.0
3.7,46.0,4.6,21.0,0.0,0.0,2.0
3.7,18.0,5.0,20.0,12.0,1.0,2.0
6.9,245.0,4.2,21.0,1.0,1.0,2.0
3.66,222.0,4.6,21.0,3.0,1.0,2.0
5.89,4315.0,4.6,3.0,1.0,1.0,7.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
